Date,SPY
1997-07-03,56.3753
1997-07-07,55.8012
1997-07-08,56.3849
1997-07-09,55.763
1997-07-10,56.0117
1997-07-11,56.2031
1997-07-14,56.3753
1997-07-15,56.6624
1997-07-16,57.4087
1997-07-17,57.1216
1997-07-18,55.9065
1997-07-21,55.9161
1997-07-22,57.3991
1997-07-23,57.3513
1997-07-24,57.6192
1997-07-25,57.5809
1997-07-28,57.5426
1997-07-29,57.734
1997-07-30,58.4229
1997-07-31,58.3655
1997-08-01,58.1359
1997-08-04,58.289
1997-08-05,58.3272
1997-08-06,58.8056
1997-08-07,58.3655
1997-08-08,57.1791
1997-08-11,57.6
1997-08-12,56.6815
1997-08-13,56.5093
1997-08-14,56.7198
1997-08-15,54.9784
1997-08-18,56.2031
1997-08-19,56.8537
1997-08-20,57.7149
1997-08-21,56.7006
1997-08-22,56.6815
1997-08-25,56.471
1997-08-26,55.6386
1997-08-27,55.9735
1997-08-28,55.1219
1997-08-29,55.342
1997-09-02,57.1408
1997-09-03,56.8346
1997-09-04,57.1982
1997-09-05,57.0355
1997-09-08,57.2843
1997-09-09,57.313
1997-09-10,56.1266
1997-09-11,55.8395
1997-09-12,56.7389
1997-09-15,56.6432
1997-09-16,58.0593
1997-09-17,58.0593
1997-09-18,58.3081
