,Portfolio-Value-diff,Market-based-PnL,Summe Einzel-Tages-PnL,Abweichung (Portfolio vs Market),Abweichung (Portfolio vs Summe)
2024-02-12,-1774.6473432734201,-1774.6473432734738,-1774.6473432734738,5.3660187404602766e-11,5.3660187404602766e-11
2024-02-13,-857.7940245796635,-857.7940245796408,-857.7940245796407,-2.2737367544323206e-11,-2.2851054382044822e-11
2024-02-14,3226.582044849347,3226.5820448494096,3226.5820448494096,-6.275513442233205e-11,-6.275513442233205e-11
2024-02-15,3599.4334184330946,3599.4334184330874,3599.4334184330874,7.275957614183426e-12,7.275957614183426e-12
2024-02-16,-214.89726647583302,-214.89726647589197,-214.89726647589202,5.894662535865791e-11,5.900346877751872e-11
2024-02-19,0.0,0.0,0.0,0.0,0.0
2024-02-20,-1939.3886816297309,-1939.3886816297127,-1939.3886816297122,-1.8189894035458565e-11,-1.864464138634503e-11
2024-02-21,-4607.083737320616,-4607.083737320617,-4607.083737320616,9.094947017729282e-13,0.0
2024-02-22,5702.576692714327,5702.57669271435,5702.5766927143495,-2.3646862246096134e-11,-2.2737367544323206e-11
2024-02-23,360.3613676877285,360.3613676877435,360.36136768774327,-1.5006662579253316e-11,-1.4779288903810084e-11
2024-02-26,2247.7113033266505,2247.7113033265796,2247.711303326579,7.09405867382884e-11,7.139533408917487e-11
2024-02-27,1036.521679230471,1036.521679230485,1036.521679230485,-1.4097167877480388e-11,-1.4097167877480388e-11
2024-02-28,-454.4472487740568,-454.4472487740228,-454.4472487740229,-3.399236447876319e-11,-3.387867764104158e-11
2024-02-29,2471.1890722705575,2471.1890722705816,2471.1890722705807,-2.4101609596982598e-11,-2.319211489520967e-11
2024-03-01,3352.04823147328,17233.096990198654,17233.096990198646,-13881.048758725374,-13881.048758725366
2024-03-04,4064.353522088175,4064.353522088111,4064.3535220881113,6.411937647499144e-11,6.366462912410498e-11
2024-03-05,-6047.063843945769,-6047.063843945737,-6047.063843945737,-3.183231456205249e-11,-3.183231456205249e-11
2024-03-06,5029.525176974275,5029.525176974239,5029.525176974238,3.637978807091713e-11,3.728928277269006e-11
2024-03-07,2933.978944942268,2933.978944942307,2933.978944942307,-3.9108272176235914e-11,-3.9108272176235914e-11
2024-03-08,-1705.0155396788614,-1705.0155396788987,-1705.015539678899,3.728928277269006e-11,3.751665644813329e-11
2024-03-11,-2596.6965598924435,-2596.6965598923935,-2596.696559892393,-5.002220859751105e-11,-5.047695594839752e-11
2024-03-12,5080.100955194619,5080.1009551945435,5080.1009551945435,7.548806024715304e-11,7.548806024715304e-11
2024-03-13,1670.0787275950133,1670.0787275950129,1670.0787275950129,4.547473508864641e-13,4.547473508864641e-13
2024-03-14,-1062.900606881216,-1062.9006068811289,-1062.9006068811289,-8.708411769475788e-11,-8.708411769475788e-11
2024-03-15,-707.7957598999783,-707.7957599000185,-707.7957599000185,4.0245140553452075e-11,4.0245140553452075e-11
2024-03-18,-705.185327797255,-705.1853277973195,-705.1853277973188,6.446043698815629e-11,6.377831596182659e-11
2024-03-19,28.370135175267933,28.370135175339975,28.37013517534009,-7.204192797871656e-11,-7.215561481643817e-11
2024-03-20,4800.664937172085,4800.664937172007,4800.664937172008,7.821654435247183e-11,7.73070496506989e-11
2024-03-21,3773.767976207164,3773.7679762072476,3773.7679762072476,-8.36735125631094e-11,-8.36735125631094e-11
2024-03-22,-1047.2285100079898,-1047.2285100080112,-1047.2285100080112,2.1373125491663814e-11,2.1373125491663814e-11
2024-03-25,3393.8338818049815,3393.833881804968,3393.8338818049674,1.3642420526593924e-11,1.4097167877480388e-11
2024-03-26,-196.96618343924638,-196.96618343924962,-196.96618343924956,3.240074875066057e-12,3.183231456205249e-12
2024-03-27,-351.1008029154036,-351.1008029154054,-351.10080291540544,1.7621459846850485e-12,1.8189894035458565e-12
